id;destination;passanger;weather;temperature;time;coupon;expiration;gender;age;maritalStatus;has_children;education;occupation;income;Bar;CoffeeHouse;CarryAway;RestaurantLessThan20;Restaurant20To50;toCoupon_GEQ5min;toCoupon_GEQ15min;toCoupon_GEQ25min;direction_same;direction_opp;Y
0;No Urgent Place;Friend(s);Sunny;80;6PM;Coffee House;2h;Female;21;Single;0;Some college - no degree;Management;$25000 - $37499;4~8;less1;gt8;1~3;1~3;1;0;0;0;1;0
1;Home;Alone;Sunny;80;6PM;Coffee House;2h;Female;50plus;Married partner;1;Bachelors degree;Education&Training&Library;$50000 - $62499;never;never;less1;less1;less1;1;0;0;0;1;0
2;Home;Alone;Sunny;55;6PM;Restaurant(20-50);1d;Male;36;Unmarried partner;0;Bachelors degree;Education&Training&Library;$25000 - $37499;less1;never;4~8;gt8;less1;1;1;0;0;1;1
3;No Urgent Place;Friend(s);Sunny;80;2PM;Restaurant(<20);2h;Male;26;Single;0;Graduate degree (Masters or Doctorate);Management;$25000 - $37499;4~8;gt8;gt8;4~8;less1;1;1;0;0;1;0
4;No Urgent Place;Kid(s);Sunny;80;2PM;Restaurant(<20);1d;Male;50plus;Married partner;1;Graduate degree (Masters or Doctorate);Sales & Related;$100000 or More;1~3;1~3;4~8;4~8;less1;1;0;0;0;1;1
5;Work;Alone;Sunny;55;7AM;Restaurant(<20);1d;Female;50plus;Married partner;0;Some college - no degree;Healthcare Support;$25000 - $37499;1~3;1~3;4~8;4~8;1~3;1;0;0;0;1;1
6;No Urgent Place;Friend(s);Sunny;80;10PM;Bar;1d;Male;below21;Unmarried partner;0;Some college - no degree;Student;$25000 - $37499;never;never;1~3;less1;never;1;1;0;0;1;0
7;Home;Alone;Sunny;80;10PM;Restaurant(20-50);1d;Female;46;Married partner;1;High School Graduate;Transportation & Material Moving;$37500 - $49999;less1;less1;1~3;1~3;never;1;1;0;0;1;0
8;No Urgent Place;Friend(s);Sunny;80;10PM;Bar;1d;Female;21;Unmarried partner;0;Some college - no degree;Office & Administrative Support;$25000 - $37499;never;never;1~3;never;never;1;1;0;0;1;1
9;No Urgent Place;Alone;Sunny;55;2PM;Restaurant(<20);1d;Male;26;Unmarried partner;0;Some college - no degree;Sales & Related;$50000 - $62499;1~3;4~8;gt8;1~3;1~3;1;0;0;0;1;1
10;Home;Alone;Sunny;80;6PM;Carry out & Take away;2h;Female;36;Married partner;1;Bachelors degree;Education&Training&Library;$37500 - $49999;less1;;1~3;1~3;1~3;1;1;0;1;0;1
11;Work;Alone;Sunny;80;7AM;Coffee House;2h;Male;26;Single;0;Associates degree;Unemployed;Less than $12500;less1;never;1~3;less1;less1;1;1;0;1;0;0
12;No Urgent Place;Partner;Sunny;80;10AM;Coffee House;2h;Female;46;Married partner;0;Some college - no degree;Arts Design Entertainment Sports & Media;$25000 - $37499;less1;4~8;1~3;1~3;less1;1;0;0;0;1;1
13;Home;Alone;Sunny;80;10PM;Restaurant(<20);2h;Female;21;Single;0;Some college - no degree;Student;$50000 - $62499;never;never;never;gt8;less1;1;0;0;1;0;1
14;No Urgent Place;Alone;Snowy;30;2PM;Bar;1d;Male;21;Single;0;Some college - no degree;Student;$12500 - $24999;1~3;less1;4~8;less1;never;1;0;0;0;1;0
15;Work;Alone;Snowy;30;7AM;Bar;1d;Male;below21;Single;0;Some college - no degree;Student;Less than $12500;never;gt8;gt8;gt8;less1;1;1;1;0;1;1
16;Work;Alone;Snowy;30;7AM;Coffee House;1d;Male;31;Married partner;1;Some college - no degree;Computer & Mathematical;$37500 - $49999;never;never;1~3;1~3;1~3;1;0;0;1;0;1
17;Home;Alone;Sunny;55;6PM;Bar;1d;Female;36;Married partner;1;Some college - no degree;Construction & Extraction;$12500 - $24999;never;1~3;1~3;less1;less1;1;0;0;1;0;0
18;No Urgent Place;Friend(s);Sunny;30;10AM;Carry out & Take away;2h;Male;36;Married partner;1;Associates degree;Computer & Mathematical;$100000 or More;never;less1;4~8;1~3;less1;1;0;0;0;1;1
19;Work;Alone;Sunny;80;7AM;Coffee House;2h;Male;26;Single;0;Bachelors degree;Business & Financial;$100000 or More;4~8;1~3;1~3;1~3;less1;1;0;0;1;0;0
20;Home;Alone;Rainy;55;6PM;Bar;1d;Female;46;Divorced;1;Bachelors degree;Office & Administrative Support;$25000 - $37499;never;1~3;1~3;1~3;1~3;1;1;1;0;1;0
21;No Urgent Place;Alone;Sunny;55;6PM;Coffee House;2h;Female;36;Unmarried partner;0;Associates degree;Unemployed;$75000 - $87499;never;never;gt8;gt8;1~3;1;0;0;0;1;0
22;Home;Alone;Snowy;30;10PM;Restaurant(20-50);2h;Male;50plus;Unmarried partner;1;Associates degree;Transportation & Material Moving;$50000 - $62499;never;1~3;4~8;4~8;1~3;1;0;0;0;1;0
23;No Urgent Place;Friend(s);Snowy;30;10AM;Carry out & Take away;1d;Female;31;Single;0;Bachelors degree;Unemployed;$100000 or More;never;4~8;gt8;4~8;less1;1;1;0;0;1;0
